Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
dos unidades en una!!!!,Casa,Barracas,6,2,2,280,180,"$230,000",$0,22/10/2024
Departamento En Venta 4 Amb C/dep Y Patio,Departamento,Barracas,4,3,3,127,107,"$235,000",$0,06/11/2024
Departamento Estilo Francés 4 Amb Reciclado En Barracas,Departamento,Barracas,4,3,2,115,93,"$252,000",$0,08/11/2024
Casa En Venta 4 Ambientes En Olavarria Al 1400 Barracas Caba,Casa,Barracas,4,3,2,194,170,"$265,000",$0,07/10/2024
Departamento - Venta - Capital Federal,Departamento,Barracas,3,2,3,92,70,"$271,300",$0,16/10/2024
Departamento - Venta - CAPITAL FEDERAL,Departamento,Barracas,4,3,3,120,93,"$283,900",$0,28/09/2024
Departamento En Venta 4 Ambientes C/dep Barracas,Departamento,Barracas,4,3,3,168,150,"$285,000",$0,06/11/2024
Departamento - Venta - Capital Federal,Departamento,Barracas,4,3,3,97,89,"$297,800",$0,15/10/2024
Departamento - Venta - Capital Federal,Departamento,Barracas,4,3,3,127,95,"$317,300",$0,16/10/2024
CASA 4 AMBIENTES CON ESCRITORIO PATIO Y TERRAZA CON PARRILLA EN BARRACAS VENTA,Casa,Barracas,4,3,1,290,180,"$320,000",$0,14/11/2024
Departamento En Venta 2 Ambientes Plus Barracas,Departamento,Barracas,4,3,3,134,99,"$367,000",$0,06/11/2024
Santa Elena 600 Barracas Casa 5amb U$370.000,Casa,Barracas,5,4,3,316,284,"$370,000",$0,10/10/2024
Departamento - Venta - Capital Federal,Departamento,Barracas,3,2,2,164,93,"$380,500",$0,15/10/2024
Departamento En Venta 6 Ambientes Plus Barracas,Departamento,Barracas,6,5,4,194,156,"$534,500",$0,06/11/2024
"Venta De Petit Hotel En Barracas, Capital Federal",Casa,Barracas,7,6,3,325,255,"$690,000",$0,06/11/2024
Departamento Venta 3 amb en Barrio Norte / Alto Palermo,Departamento,Barrio Norte,4,3,2,115,115,"$220,000","$20,000",05/11/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,2,1,1,40,35,"$135,000","$39,726",17/11/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,4,3,2,141,101,"$385,000","$53,777",21/11/2024
"Excelente Departamento Tipo Loft Divisible Para 2 Ambientes En Pb, Apto Profesional",Departamento,Barrio Norte,2,1,1,83,63,"$170,000","$80,000",01/10/2024
"DEPARTAMENTO 2 AMBIENTES - BARRIO NORTE, CAPITAL FEDERAL",Departamento,Barrio Norte,2,1,1,75,45,"$175,000","$88,000",26/11/2024
"DEPARTAMENTO 3 DORMITORIOS - BARRIO NORTE, CAPITAL FEDERAL",Departamento,Barrio Norte,4,3,1,101,97,"$220,000","$95,000",23/10/2024
3 AMB - Venta - MUY LUMINOSO!,Departamento,Barrio Norte,3,2,1,61,56,"$160,000","$100,000",23/10/2024
"DEPARTAMENTO 2 DOR.C/DEP - BARRIO NORTE, CAPITAL FEDERAL",Departamento,Barrio Norte,3,2,1,90,84,"$190,000","$108,000",22/11/2024
Luminoso 3 amb con depend cercano a subte H y D,Departamento,Barrio Norte,3,2,1,85,85,"$154,000","$160,000",26/09/2024
Departamento en venta - Barrio Norte - 3 ambientes,Departamento,Barrio Norte,3,2,2,78,75,"$186,000","$180,000",04/10/2024
Duplex 3 Ambientes al Frente Balcón Terraza Parrilla,Departamento,Barrio Norte,3,2,1,85,65,"$220,000","$190,000",21/11/2024
Cuatro dormitorios en Recoleta,Departamento,Barrio Norte,5,4,2,270,256,"$400,000","$198,000",26/11/2024
SEMIPISO 3AMB C/DEP BALCON Y COCHERA - AMENITIES - VIG 24HS,Departamento,Barrio Norte,3,2,2,80,74,"$245,000","$220,000",24/09/2024
Departamento De 1 Ambiente En Estado Impecable.,Departamento,Barrio Norte,2,1,1,24,24,"$55,000",$0,12/11/2024
Departamento En Barrio Norte,Departamento,Barrio Norte,1,1,1,24,24,"$57,000",$0,07/10/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,1,1,1,21,21,"$60,000",$0,12/10/2024
Departamento En Barrio Norte,Departamento,Barrio Norte,2,1,1,41,24,"$68,000",$0,17/10/2024
Departamento En Barrio Norte,Departamento,Barrio Norte,3,2,1,61,0,"$73,000",$0,01/10/2024
Barrio Norte 2 amb. apto prof. Excel. Ubicación,Departamento,Barrio Norte,2,1,1,40,34,"$75,000",$0,14/10/2024
"OPORTUNIDAD! VENTA LUMINOSO DEPTO 2 AMBIENTES, BARRIO NORTE",Departamento,Barrio Norte,2,1,1,30,30,"$78,000",$0,20/11/2024
"Excelente Ubicación, Piso Alto, Mucha Luz!",Departamento,Barrio Norte,2,1,1,30,30,"$79,000",$0,10/10/2024
"Venta Monoambiente, Divisible Al Frente Av. Pueyrredón Al 1500 - Barrio Norte - Apto Profesional Y/o Vivienda",Departamento,Barrio Norte,1,1,1,31,31,"$83,000",$0,21/11/2024
Se vende un departamento de 3 ambientes,Departamento,Barrio Norte,3,2,1,46,46,"$85,000",$0,28/09/2024
"Venta Departamento De 2 Ambientes Remodelado En Retiro / Recoleta, Apto Profesional",Departamento,Barrio Norte,2,1,1,42,42,"$87,000",$0,24/10/2024
Venta Departamento 2 Ambientes En Barrio Norte / Frente Al Parque Las Heras!,Departamento,Barrio Norte,2,1,1,32,32,"$90,000",$0,05/11/2024
"Mansilla 3300, Departamento 2 Ambientes Con 2 Patios - Barrio Norte",Departamento,Barrio Norte,2,1,1,49,36,"$93,000",$0,13/11/2024
"Anchorena 800, Departamento 2 Amb Frente Moderno C/balcón, Barrio Norte",Departamento,Barrio Norte,2,1,1,41,36,"$105,000",$0,29/10/2024
Departamento 2 Amb - Muy Amplio,Departamento,Barrio Norte,2,1,1,43,40,"$110,000",$0,15/11/2024
Monoambiene. Piso Alto Barrio Norte,Departamento,Barrio Norte,1,1,1,38,38,"$115,000",$0,23/10/2024
"Venta. Barrio Norte. Departamento. Dos Ambientes Con Balcon Terraza,",Departamento,Barrio Norte,2,1,1,38,38,"$115,000",$0,06/11/2024
Venta - Barrio Norte - Larrea 700 y Avda. Córdoba - 2 Amplios Ambientes con Balcón muy luminoso,Departamento,Barrio Norte,2,1,1,518,518,"$118,000",$0,30/10/2024
Departamento En Venta 2 Ambientes Barrio Norte,Departamento,Barrio Norte,2,1,1,54,49,"$120,000",$0,14/10/2024
Departamento - Recoleta,Departamento,Barrio Norte,1,1,1,39,36,"$124,000",$0,06/11/2024
Venta Semipiso 3 Ambientes Con Baño De Servicio Y Balcon Al Contrafrente Barrio Norte Apto Credito,Departamento,Barrio Norte,3,2,1,69,60,"$125,000",$0,29/10/2024
Departamento En Barrio Norte Facultad 4 Amb. 2 Baños Amplia Cocina Ideal Inversion Para Renta,Departamento,Barrio Norte,4,3,1,80,80,"$130,000",$0,19/11/2024
"Venta Departamento En Dúplex De 2 Ambientes En Barrio Norte, Recoleta",Departamento,Barrio Norte,2,1,1,50,49,"$135,000",$0,14/10/2024
"Departamento Con Balcon Corrido, En Zona De Facultades. Cerca De Todo.",Departamento,Barrio Norte,4,3,1,87,77,"$136,000",$0,20/11/2024
"3 Ambientes , Balcon Terraza, Lavadero,vista Abierta",Departamento,Barrio Norte,3,2,1,85,75,"$144,000",$0,19/11/2024
"Venta, 2 Ambientes, Cocina, Balcón, Recoleta",Departamento,Barrio Norte,2,1,1,45,42,"$148,000",$0,03/10/2024
Impecable Y Amplio 2 Ambientes Con Patio Y Mucha Luz - Apto Profesional,Departamento,Barrio Norte,2,1,1,62,62,"$149,000",$0,14/10/2024
"Departamento En Venta En Barrio Norte, Capital Federal, Buenos Aires",Departamento,Barrio Norte,3,2,1,57,54,"$150,000",$0,04/10/2024
Departamento 3 Ambientes En Venta En Anchorena Al 1100 Barrio Norte Caba,Departamento,Barrio Norte,3,2,1,60,60,"$155,000",$0,07/11/2024
Excelente 2 Ambientes - 50 Mts. - Mucha Luz - Piscina - Laundry,Departamento,Barrio Norte,2,1,1,50,50,"$159,000",$0,14/10/2024
Venta departamento 2 ambientes en Recoleta,Departamento,Barrio Norte,2,1,1,65,53,"$160,000",$0,22/10/2024
Departamento 4 Amb En Venta En Av. Cordoba Al 2400 Barrio Norte Caba,Departamento,Barrio Norte,4,3,2,118,110,"$160,000",$0,07/10/2024
Departamento En Venta Barrio Norte / Recoleta 1 Ambiente.,Departamento,Barrio Norte,2,1,1,66,53,"$164,729",$0,04/11/2024
Departamento - Barrio Norte. 3 Dormitorios,Departamento,Barrio Norte,4,3,2,86,76,"$165,000",$0,08/11/2024
Juní­n Y Mt De Alvear - Departamento De 3 Amb. C/ 2 Patios En Recoleta,Departamento,Barrio Norte,3,2,2,83,83,"$165,000",$0,01/11/2024
"Aguero 900, Departamento 5 Ambientes De 94m2, Muy Luminoso, - Barrio Norte",Departamento,Barrio Norte,5,4,2,94,90,"$169,000",$0,11/11/2024
Departamento En Barrio Norte,Departamento,Barrio Norte,3,2,1,83,78,"$170,000",$0,06/11/2024
Venta Departamento -a Nuevo Estilo Loft Parana 700 Coch En Alquiler,Departamento,Barrio Norte,3,2,2,79,79,"$170,000",$0,02/10/2024
Venta Departamento -a Nuevo Estilo Loft Parana 700 Coch En Alquiler,Departamento,Barrio Norte,3,2,2,79,79,"$170,000",$0,02/10/2024
Casa - Venta - Capital Federal,Casa,Barrio Norte,6,5,2,115,103,"$170,000",$0,08/10/2024
Departamento En Barrio Norte,Departamento,Barrio Norte,4,3,1,84,78,"$172,000",$0,19/11/2024
Departamento En Venta Barrio Norte / Recoleta 2 Ambientes.,Departamento,Barrio Norte,2,1,1,58,53,"$174,952",$0,04/11/2024
A Reciclar 3 Ambientes - Barrio Norte,Departamento,Barrio Norte,3,2,1,78,78,"$185,000",$0,12/11/2024
Barrio Norte Bellí­simo 3 Ambientes Ubicación Maravillosa !!!,Departamento,Barrio Norte,3,2,1,77,77,"$189,000",$0,16/11/2024
"Departamento 3 Ambientes Con Balcón Terraza, Con Parrilla. Muy Luminoso",Departamento,Barrio Norte,3,2,1,81,49,"$190,000",$0,14/10/2024
4 Ambientes Con Ampliio Balcon En Venta,Departamento,Barrio Norte,4,3,1,84,71,"$195,000",$0,26/11/2024
Departamento De 3 Ambientes Con Escritorio Y Balcon Terraza,Departamento,Barrio Norte,3,2,2,76,63,"$200,000",$0,18/10/2024
Venta Departamento / Piso De 4 Ambientes Con Dependencia En Palermo - Botánico,Departamento,Barrio Norte,4,3,1,105,97,"$220,000",$0,16/10/2024
Departamento Venta 3 amb en Barrio Norte / Alto Palermo,Departamento,Barrio Norte,4,3,2,115,115,"$220,000",$0,31/10/2024
Azcuénaga Y Beruti,Departamento,Barrio Norte,4,3,2,96,92,"$225,000",$0,01/10/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,2,1,2,69,60,"$228,000",$0,12/11/2024
Edificio Premium A Estrenar - Gran 2 Amb. De Lujo!!!,Departamento,Barrio Norte,2,1,2,64,55,"$230,000",$0,22/10/2024
Edificio Premium A Estrenar - Gran 2 Amb. De Lujo!!!,Departamento,Barrio Norte,2,1,2,66,57,"$230,000",$0,22/10/2024
Venta Piso Av Córdoba Y Callao Gran Patio Terraza - Silencioso Luminoso Privado,Departamento,Barrio Norte,4,3,2,115,90,"$230,000",$0,12/11/2024
Venta Piso Av Córdoba Y Callao Gran Patio Terraza - Silencioso Luminoso Privado,Departamento,Barrio Norte,4,3,2,115,90,"$230,000",$0,02/10/2024
"Amplio Piso 4 Ambientes En La Isla, Con Dependencia De Serivicio",Departamento,Barrio Norte,4,3,1,115,115,"$230,000",$0,06/11/2024
Departamento De 4 Ambientes En Venta,Departamento,Barrio Norte,4,2,1,130,122,"$240,000",$0,26/11/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,3,2,2,67,53,"$243,010",$0,05/11/2024
Departamento - Barrio Norte,Departamento,Barrio Norte,4,2,1,101,89,"$250,000",$0,01/10/2024
Increible 4 Ambientes C/ Dep Con Hermosa Vista - 90 Mts. - Seguridad 24 Hs,Departamento,Barrio Norte,4,3,3,90,90,"$250,000",$0,09/10/2024
"Duplex Amplio. Luminoso. 5 Dormitorios, 2 Baños Por Escalera",Departamento,Barrio Norte,7,5,2,118,118,"$250,000",$0,18/11/2024
Ph En Venta Ecuador Al 700 Y Tucuman,Departamento,Barrio Norte,6,4,2,200,135,"$250,000",$0,10/10/2024
"Apto Crédito En Barrio Norte, Venta Departamento De 3 Ambientes Con Baulera",Departamento,Barrio Norte,3,2,2,63,56,"$253,523",$0,26/11/2024
Departamento 4 Ambientes Más Dependencia De Servicio Y Baulera Amplia En Barrio Norte Apto Credito,Departamento,Barrio Norte,4,3,2,112,104,"$258,000",$0,25/10/2024
Hermoso Piso De 4 Ambientes C/ Dependencia,Departamento,Barrio Norte,3,2,3,103,103,"$269,000",$0,06/11/2024
Palermo Chico - Piso Alto - Excepcional Departamento De 2 Amb. Amplios Con 2 Balcones,Departamento,Barrio Norte,2,1,1,75,65,"$270,000",$0,01/11/2024
Departamento Alquiler En Alto Palermo Bulnes Al 1200,Departamento,Barrio Norte,3,2,1,90,90,"$270,000",$0,17/11/2024
Departamento Alquiler En Alto Palermo Bulnes Al 1200,Departamento,Barrio Norte,3,2,1,90,90,"$270,000",$0,02/10/2024
Departamento En Venta 3 Ambientes Dependencia - Barrio Norte,Departamento,Barrio Norte,4,3,3,94,94,"$270,000",$0,23/10/2024
Hermoso Piso De 4 Ambientes C/ Dependencia,Departamento,Barrio Norte,4,3,3,104,104,"$270,000",$0,30/10/2024
Departamento En Recoleta,Departamento,Barrio Norte,4,2,2,119,110,"$290,000",$0,22/11/2024
RECOLETA - 3 AMBIENTES AMPLIOS CON DEPENDENCIA - REC026,Departamento,Barrio Norte,3,2,1,140,140,"$290,000",$0,07/10/2024
Venta Piso Palermo - Thames Al 2300 (2 Suites) Coch Optativa,Departamento,Barrio Norte,3,2,3,100,100,"$299,000",$0,02/10/2024
"Marcelo T. De Alvear 1300, Duplex 4 Ambientes Con Dependencia, Reciclado En Barrio Norte",Departamento,Barrio Norte,4,3,3,120,113,"$309,000",$0,30/09/2024
Venta De Departamento En Barrio Norte De 4 Ambientes Con Dependencia A 50 M De Av. Cordoba Apto Crédito,Departamento,Barrio Norte,4,3,2,150,144,"$310,000",$0,04/11/2024
Departamento - Venta - Capital Federal,Departamento,Barrio Norte,3,2,2,122,116,"$315,000",$0,23/11/2024
Av. Libertador Y Av. Callao,Departamento,Barrio Norte,6,3,2,149,149,"$315,000",$0,01/10/2024
Retasado Venta Patio Terraza Departamento - Palermo Chico Amenities Vig24hs Pileta,Departamento,Barrio Norte,3,2,2,96,96,"$319,000",$0,17/11/2024
Retasado Venta Patio Terraza Departamento - Palermo Chico Amenities Vig24hs Pileta,Departamento,Barrio Norte,3,2,2,96,96,"$319,000",$0,02/10/2024
Recoleta - Piso De Categorí­a En Edificio Estilo Francés,Departamento,Barrio Norte,4,3,3,137,137,"$320,000",$0,01/11/2024
Juncal Y Basavilbaso,Departamento,Barrio Norte,4,2,2,130,123,"$340,000",$0,01/10/2024
Venta Departamento - Venta 2 Dorm Y Dep. Categorí­a - Frente - Baj Exps,Departamento,Barrio Norte,3,2,2,97,95,"$350,000",$0,17/11/2024
Venta Departamento - Venta 2 Dorm Y Dep. Categorí­a - Frente - Baj Exps,Departamento,Barrio Norte,3,2,2,97,95,"$350,000",$0,02/10/2024
"Racionalista, Reciclado Vista Plaza Libetad",Departamento,Barrio Norte,4,3,3,140,140,"$420,000",$0,23/10/2024
Departamento En Venta Construccion Entrega Junio 2024 - A Estrenar!!,Departamento,Barrio Norte,4,3,2,113,101,"$450,000",$0,17/11/2024
Departamento En Venta Construccion Entrega Junio 2024 - A Estrenar!!,Departamento,Barrio Norte,4,3,2,113,101,"$450,000",$0,02/10/2024
Edificio Unico Venta Divino Departamento De 3 Dorm Y Depend.,Departamento,Barrio Norte,4,3,2,154,148,"$478,000",$0,13/11/2024
Edificio Unico Venta Divino Departamento De 3 Dorm Y Depend.,Departamento,Barrio Norte,4,3,2,154,148,"$478,000",$0,02/10/2024
Montevideo Y Posadas - Excepcional Piso De Categorí­a - Zona De Embajadas,Departamento,Barrio Norte,5,4,3,205,193,"$480,000",$0,01/11/2024
Exclusivo 2 Ambientes En Suite Con Increible Terraza Con Parrilla Propia Y Solarium - Lujo Total,Departamento,Barrio Norte,2,1,2,140,70,"$520,000",$0,22/10/2024
Excelente Piso De Categorí­a - 250 Mts. - 4 Dormitorios - Dependencia,Departamento,Barrio Norte,5,4,3,251,0,"$570,000",$0,06/11/2024
Venta Departamento De 3 Dormitorios Dependencia En La Mejor Zona De Barrio Norte!,Departamento,Barrio Norte,4,3,2,198,188,"$630,000",$0,07/10/2024
Edificio Kavanagh Florida 1065 Historia Viviente A Plazas Reciclado,Departamento,Barrio Norte,4,3,3,282,282,"$790,000",$0,07/10/2024
Edificio Kavanagh Florida 1065 Historia Viviente - Consultar Precio!!,Departamento,Barrio Norte,4,3,3,282,282,"$1,111,111",$0,02/10/2024
"Semi Piso de 4 ambientes y dependencias, Balcón terraza, ,Estilo y Categorí­a",Departamento,Barrio Norte Recoleta,4,3,2,190,183,"$440,000",$300,04/11/2024
Recoleta Barrio Norte 2 Ambientes APTO CREDITO 5° Piso * Listo Para Mudarse,Departamento,Barrio Norte Recoleta,2,1,1,33,33,"$86,000",$450,25/11/2024
Oportunidad Excelente Departamento de Dos Ambientes en Zona Exclusiva de Buenos Aires,Departamento,Barrio Norte Recoleta,2,1,1,65,65,"$195,000","$17,000",09/10/2024
DEPARTAMENTO 3 DORMITORIOS Y DEPENDENCIA,Departamento,Barrio Norte Recoleta,3,2,1,127,120,"$273,000","$20,000",25/11/2024
Venta Departamento Oficina Recoleta Apto Profesional,Departamento,Barrio Norte Recoleta,2,1,1,36,36,"$88,000","$30,420",20/11/2024
RECOLETA - DUPLEX - 3 AMB. CON BALCóN TERRAZA - 120 M2 TOTALES - IMPERDIBLE !!,Departamento,Barrio Norte Recoleta,3,2,2,120,0,"$289,000","$57,000",29/10/2024
Excelente departamento en Recoleta - Piso alto con vista panorámica y muchí¬sima luz,Departamento,Barrio Norte Recoleta,4,3,2,74,71,"$215,000","$70,000",05/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,75,45,"$175,000","$88,000",26/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,4,3,2,140,135,"$360,000","$90,000",15/11/2024
Hermoso Departamento Refaccionado a Nuevo con Balcón en Recoleta,Departamento,Barrio Norte Recoleta,2,1,1,44,42,"$115,000","$100,000",21/11/2024
TRES AMBIENTES CONTRAFRENTE LUMINOSO,Departamento,Barrio Norte Recoleta,3,2,1,57,52,"$125,000","$105,000",22/10/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,65,55,"$145,000","$124,000",14/10/2024
A PASOS DEL COLEGIO DEL SALVADOR,Departamento,Barrio Norte Recoleta,5,4,4,200,200,"$358,000","$128,000",12/11/2024
"VENTA | 2 amb., interno, luminoso - Barrio Norte - Facultades",Departamento,Barrio Norte Recoleta,2,1,1,41,41,"$79,500","$130,000",29/10/2024
VENTA- DEPARTAMENTO 2 AMBIENTES- RECOLETA,Departamento,Barrio Norte Recoleta,2,1,1,42,42,"$132,000","$140,000",23/10/2024
"Arenales 1400, (Entre Uruguay y Paraná) Recoleta Para Reciclar!",Departamento,Barrio Norte Recoleta,4,3,2,136,136,"$325,000","$165,510",27/09/2024
Triplex en Recoleta,Departamento,Barrio Norte Recoleta,4,2,2,170,110,"$319,000","$185,000",01/10/2024
"Departamento de 2 ambientes en venta Ideal Inversión, zona Estratégica",Departamento,Barrio Norte Recoleta,2,1,1,37,37,"$120,000","$195,000",25/11/2024
"SEMIPISO A RECICLAR EN VENTA EN RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,10,10,3,194,194,"$189,000","$220,000",08/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,4,3,3,114,94,"$350,000","$247,000",12/11/2024
Venta depto de 2 amb Recoleta - Zona Facultades Ideal Inversión,Departamento,Barrio Norte Recoleta,2,1,1,43,39,"$99,000","$330,000",15/11/2024
"Piso alto, 4 amb con Dependencia -Recoleta",Departamento,Barrio Norte Recoleta,4,3,2,150,141,"$362,000","$390,000",11/11/2024
Cuatro dormitorios en Recoleta,Departamento,Barrio Norte Recoleta,5,4,2,270,256,"$400,000","$490,000",22/11/2024
Venta 2 ambientes al frente en Recoleta Â¡ Ideal para los que disfrutan de un toque de actividad diaria !,Departamento,Barrio Norte Recoleta,2,1,1,38,38,"$78,500",$0,17/10/2024
Excelente departamento 2 ambientes Recoleta.,Departamento,Barrio Norte Recoleta,2,1,1,34,34,"$80,000",$0,24/10/2024
Venta 2 ambientes Recoleta,Departamento,Barrio Norte Recoleta,2,1,1,55,55,"$80,000",$0,13/11/2024
Peña y Uriburu - Monoambiente Dividio a La Calle con Balcón y Lavadero,Departamento,Barrio Norte Recoleta,1,1,1,37,35,"$83,000",$0,12/11/2024
Hermoso Monoambiente | Ubicado Sobre Arenales | Excelente Ubicación,Departamento,Barrio Norte Recoleta,1,1,1,23,23,"$85,000",$0,15/11/2024
"Recoleta Barrio Norte 2 Ambientes 33,33m2 5° Piso * Listo Para Mudarse",Departamento,Barrio Norte Recoleta,2,1,1,33,33,"$86,000",$0,28/10/2024
Venta departamento monoambiente en Recoleta luminoso,Departamento,Barrio Norte Recoleta,1,1,1,28,28,"$90,000",$0,31/10/2024
Oportunidad! Depto de 70 m2 en pleno Recoleta.,Departamento,Barrio Norte Recoleta,2,1,1,70,50,"$98,000",$0,30/10/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,31,31,"$110,000",$0,27/09/2024
APTO CREDITO,Departamento,Barrio Norte Recoleta,2,1,1,55,55,"$115,000",$0,04/11/2024
Arenales al 1700,Departamento,Barrio Norte Recoleta,2,1,1,50,50,"$119,000",$0,05/11/2024
3 AMBIENTES AMPLIOS FRENTE CON BALCON A REFACCIONAR,Departamento,Barrio Norte Recoleta,3,2,1,73,66,"$131,000",$0,12/11/2024
Montevideo y Arenales - GRAN 3 ambientes,Departamento,Barrio Norte Recoleta,3,2,1,59,59,"$140,000",$0,11/11/2024
Departamento de 2 ambientes Impecable en Recoleta,Departamento,Barrio Norte Recoleta,2,1,1,44,42,"$142,000",$0,04/11/2024
"VENDO DEPARTAMENTO en EDIFICIO TORRE, CON BALCON A LA CALLE. 3 AMB.",Departamento,Barrio Norte Recoleta,3,2,1,64,64,"$153,000",$0,04/11/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,55,41,"$155,000",$0,24/10/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,572,45,"$160,160",$0,13/11/2024
"DEPARTAMENTO 3 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,3,2,1,70,65,"$168,000",$0,26/11/2024
"DEPARTAMENTO 3 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,3,2,1,58,58,"$170,000",$0,01/11/2024
Departamento Venta 4 Amb Recoleta,Departamento,Barrio Norte Recoleta,4,3,1,100,90,"$220,000",$0,08/11/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,4,3,2,111,111,"$249,900",$0,14/10/2024
"DEPARTAMENTO 2 AMBIENTES - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,2,1,1,61,61,"$250,000",$0,07/10/2024
Recoleta Semipiso Duplex Excelente Terraza 25 m2 SOL PLENO,Departamento,Barrio Norte Recoleta,3,2,1,120,95,"$289,000",$0,25/11/2024
RECOLETA - DUPLEX - 3 AMB. CON BALCóN TERRAZA - 120 M2 TOTALES - IMPERDIBLE !!,Departamento,Barrio Norte Recoleta,3,2,2,120,0,"$289,000",$0,28/10/2024
"DEPARTAMENTO 3 DORMITORIOS - RECOLETA, CAPITAL FEDERAL",Departamento,Barrio Norte Recoleta,4,3,3,112,112,"$310,000",$0,04/10/2024
"Departamento En Venta Ubicado En Recoleta, Capital Federal, Buenos Aires",Departamento,Barrio Norte Recoleta,7,4,2,192,192,"$346,000",$0,08/11/2024
"Ayacucho 1400, Casi Peña, Recoleta! Terraza / Frances / Divino! a Nuevo",Departamento,Barrio Norte Recoleta,5,4,2,200,170,"$450,000",$0,04/11/2024
"Departamento En Venta Ubicado En Recoleta, 3 Dormitorios",Departamento,Barrio Norte Recoleta,7,3,3,159,159,"$477,000",$0,08/11/2024
DEPARTAMENTO EN VENTA- 3 AMBIENTES - BELGRANO,Departamento,Belgrano,3,2,1,80,80,"$270,000",$50,22/10/2024
Venta 4 Amb c/Dependencia Balcon Aterrazado en Belgrano,Departamento,Belgrano,4,3,4,170,145,"$320,000",$100,11/10/2024
Venta Departamento 4 ambientes en Belgrano,Departamento,Belgrano,3,3,1,91,87,"$168,000",$245,21/10/2024
Teodoro Garcí­a 2330 8Âº Palermo Belgrano Cañitas 3amb u$ 160m,Departamento,Belgrano,3,2,1,69,60,"$160,000","$23,000",14/11/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,Departamento,Belgrano,2,1,2,47,41,"$165,000","$30,000",09/10/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,Departamento,Belgrano,3,2,2,100,75,"$239,000","$30,000",19/10/2024
venta departamento 4 amb c/dep Belgrano,Departamento,Belgrano,4,3,3,112,105,"$330,000","$37,000",17/10/2024
4 Ambientes Con Amplio Patio Con Parrilla!,Departamento,Belgrano,4,3,2,150,89,"$210,000","$45,000",05/11/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,Departamento,Belgrano,5,3,4,177,170,"$520,000","$45,000",07/11/2024
venta departamento de 3 ambientes Belgrano,Departamento,Belgrano,3,2,1,85,58,"$138,000","$49,620",23/10/2024
Venta Departamento de 3 ambientes en Belgrano,Departamento,Belgrano,3,2,1,67,61,"$155,000","$50,542",12/11/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,Departamento,Belgrano,4,3,2,107,94,"$210,000","$64,000",25/09/2024
Echeverrí­a 2700 Belgrano 4amb U$298.000,Departamento,Belgrano,4,3,2,108,85,"$298,000","$70,000",16/10/2024
Av Juramento 1900 Belgrano 2amb U$90.000 Apto Prof,Departamento,Belgrano,2,1,1,44,38,"$90,000","$80,000",05/11/2024
Departamento en venta de 2 ambientes c/ cochera en Belgrano,Departamento,Belgrano,2,1,1,39,32,"$105,000","$80,000",20/11/2024
"VENTA PISO 4 AMBIENTES CON DEP, COCHERA Y BAULERA",Departamento,Belgrano,4,3,1,106,98,"$290,000","$80,000",22/11/2024
OPPEL | Departamento en Venta | BELGRANO Capital Federal |,Departamento,Belgrano,3,2,3,115,71,"$250,000","$87,400",14/10/2024
Venta Departamento 3 Ambientes En Belgrano,Departamento,Belgrano,3,2,1,65,61,"$132,000","$90,000",09/11/2024
"Venta Departamento De 2 Ambientes En Belgrano, En Construccion",Departamento,Belgrano,2,1,1,64,60,"$184,800","$90,000",26/11/2024
